name,amount
LABWOR COUNTY,14738
LABWOR COUNTY,8466
LABWOR COUNTY,791
ADJUMANI EAST COUNTY,12014
ADJUMANI EAST COUNTY,10728
ADJUMANI EAST COUNTY,1722
ADJUMANI EAST COUNTY,933
ADJUMANI EAST COUNTY,390
ADJUMANI WEST COUNTY,10227
ADJUMANI WEST COUNTY,6891
ADJUMANI WEST COUNTY,1836
ADJUMANI WEST COUNTY,1145
ADJUMANI WEST COUNTY,934
ADJUMANI WEST COUNTY,603
ADJUMANI WEST COUNTY,202
AGAGO  WEST COUNTY,9892
AGAGO  WEST COUNTY,4954
AGAGO  WEST COUNTY,745
AGAGO  WEST COUNTY,72
AGAGO COUNTY,9396
AGAGO COUNTY,8789
AGAGO COUNTY,2846
AGAGO COUNTY,2692
AGAGO NORTH COUNTY,7943
AGAGO NORTH COUNTY,6551
AGAGO NORTH COUNTY,4922
AGAGO NORTH COUNTY,4286
AGAGO NORTH COUNTY,1782
AGAGO NORTH COUNTY,650
AJURI COUNTY,11796
AJURI COUNTY,10612
AJURI COUNTY,5859
AJURI COUNTY,3933
AJURI COUNTY,2222
MOROTO COUNTY,17703
MOROTO COUNTY,9874
MOROTO COUNTY,2644
MOROTO COUNTY,1801
MOROTO COUNTY,343
MOROTO COUNTY,225
KIOGA COUNTY,8537
KIOGA COUNTY,6927
KIOGA COUNTY,5691
KIOGA COUNTY,1259
KIOGA COUNTY,489
KIOGA COUNTY,110
KIOGA NORTH COUNTY,14021
KIOGA NORTH COUNTY,6381
KIOGA NORTH COUNTY,4346
KIOGA NORTH COUNTY,3376
KIOGA NORTH COUNTY,844
KIOGA NORTH COUNTY,227
UPE COUNTY,16241
UPE COUNTY,11939
UPE COUNTY,2972
AMURIA COUNTY,20143
AMURIA COUNTY,12399
AMURIA COUNTY,4511
AMURIA COUNTY,473
AMURIA COUNTY,454
ORUNGO COUNTY,15173
ORUNGO COUNTY,3233
ORUNGO COUNTY,1175
KILAK NORTH COUNTY,6534
KILAK NORTH COUNTY,6366
KILAK NORTH COUNTY,1927
KILAK NORTH COUNTY,1312
KILAK NORTH COUNTY,773
KILAK NORTH COUNTY,360
KILAK NORTH COUNTY,250
KILAK NORTH COUNTY,148
KILAK SOUTH COUNTY,10820
KILAK SOUTH COUNTY,5189
KILAK SOUTH COUNTY,1271
KILAK SOUTH COUNTY,467
KILAK SOUTH COUNTY,290
KILAK SOUTH COUNTY,178
APAC MUNICIPALITY,9469
APAC MUNICIPALITY,3675
MARUZI COUNTY,10758
MARUZI COUNTY,7987
MARUZI COUNTY,2204
MARUZI COUNTY,977
MARUZI NORTH COUNTY,9395
MARUZI NORTH COUNTY,7876
MARUZI NORTH COUNTY,1344
VURRA COUNTY,21989
VURRA COUNTY,7710
VURRA COUNTY,3408
VURRA COUNTY,1217
ARUA CENTRAL DIVISION,6570
ARUA CENTRAL DIVISION,6038
ARUA CENTRAL DIVISION,5711
ARUA CENTRAL DIVISION,238
ARUA CENTRAL DIVISION,156
ARUA CENTRAL DIVISION,154
AYIVU DIVISION EAST,10431
AYIVU DIVISION EAST,5022
AYIVU DIVISION EAST,3937
AYIVU DIVISION EAST,2523
AYIVU DIVISION EAST,2326
AYIVU DIVISION EAST,2322
AYIVU DIVISION EAST,1608
AYIVU DIVISION EAST,593
AYIVU DIVISION EAST,423
AYIVU DIVISION WEST,11269
AYIVU DIVISION WEST,9196
AYIVU DIVISION WEST,5091
AYIVU DIVISION WEST,614
BUDAKA COUNTY,9463
BUDAKA COUNTY,7919
BUDAKA COUNTY,6397
BUDAKA COUNTY,3507
BUDAKA COUNTY,3335
BUDAKA COUNTY,3272
BUDAKA COUNTY,2767
BUDAKA COUNTY,1052
IKI-IKI COUNTY,10928
IKI-IKI COUNTY,7499
IKI-IKI COUNTY,7227
IKI-IKI COUNTY,362
IKI-IKI COUNTY,169
IKI-IKI COUNTY,117
BUSHIGAI COUNTY,4198
BUSHIGAI COUNTY,2172
BUSHIGAI COUNTY,1873
BUSHIGAI COUNTY,376
BUSHIGAI COUNTY,328
LUTSESHE COUNTY,9990
LUTSESHE COUNTY,9304
LUTSESHE COUNTY,222
LUTSESHE COUNTY,198
LUTSESHE COUNTY,192
LUTSESHE COUNTY,37
MANJIYA COUNTY,9994
MANJIYA COUNTY,5032
MANJIYA COUNTY,1069
MANJIYA COUNTY,528
BUGIRI MUNICIPALITY,5325
BUGIRI MUNICIPALITY,3779
BUGIRI MUNICIPALITY,129
BUGIRI MUNICIPALITY,69
BUGIRI MUNICIPALITY,63
BUGIRI MUNICIPALITY,55
BUGIRI MUNICIPALITY,32
BUKOOLI COUNTY CENTRAL,24244
BUKOOLI COUNTY CENTRAL,12555
BUKOOLI COUNTY CENTRAL,5243
BUKOOLI COUNTY CENTRAL,3314
BUKOOLI COUNTY CENTRAL,3028
BUKOOLI COUNTY CENTRAL,1680
BUKOOLI COUNTY CENTRAL,1420
BUKOOLI COUNTY CENTRAL,586
BUKOOLI COUNTY CENTRAL,482
BUKOOLI COUNTY CENTRAL,413
BUKOOLI COUNTY CENTRAL,259
BUKOOLI COUNTY NORTH,19318
BUKOOLI COUNTY NORTH,9197
BUKOOLI COUNTY NORTH,9056
BUKOOLI COUNTY NORTH,622
BUKOOLI COUNTY NORTH,266
BUKOOLI COUNTY NORTH,184
BUGWERI COUNTY,17813
BUGWERI COUNTY,13141
BUGWERI COUNTY,9074
BUGWERI COUNTY,2624
BUGWERI COUNTY,1535
BUGWERI COUNTY,643
,
BUGWERI COUNTY,460
BUGWERI COUNTY,243
BUGWERI COUNTY,114
BUGWERI COUNTY,88
BUGWERI COUNTY,75
BUHWEJU COUNTY,12084
BUHWEJU COUNTY,9769
BUHWEJU COUNTY,69
BUHWEJU WEST COUNTY,14423
BUHWEJU WEST COUNTY,10234
BUHWEJU WEST COUNTY,1300
BUHWEJU WEST COUNTY,175
BUHWEJU WEST COUNTY,142
BUIKWE COUNTY SOUTH,28759
BUIKWE COUNTY SOUTH,15024
BUIKWE COUNTY SOUTH,2892
BUIKWE COUNTY SOUTH,311
BUIKWE COUNTY SOUTH,305
BUIKWE COUNTY SOUTH,300
BUIKWE COUNTY SOUTH,174
LUGAZI MUNICIPALITY,14409
LUGAZI MUNICIPALITY,10085
LUGAZI MUNICIPALITY,8901
LUGAZI MUNICIPALITY,627
LUGAZI MUNICIPALITY,492
NJERU MUNICIPALITY,13676
NJERU MUNICIPALITY,7234
NJERU MUNICIPALITY,6736
NJERU MUNICIPALITY,6094
NJERU MUNICIPALITY,4476
NJERU MUNICIPALITY,2275
NJERU MUNICIPALITY,1513
NJERU MUNICIPALITY,1180
NJERU MUNICIPALITY,834
NJERU MUNICIPALITY,431
NJERU MUNICIPALITY,304
BUKEDEA COUNTY,20112
BUKEDEA COUNTY,10546
BUKEDEA COUNTY,4957
BUKEDEA COUNTY,2723
BUKEDEA COUNTY,1451
BUKEDEA COUNTY,872
BUKEDEA COUNTY,617
BUKEDEA COUNTY,461
KACHUMBALA COUNTY,11717
KACHUMBALA COUNTY,4573
KACHUMBALA COUNTY,1584
KACHUMBALA COUNTY,374
BUKOMANSIMBI NORTH COUNTY,9617
BUKOMANSIMBI NORTH COUNTY,6599
BUKOMANSIMBI NORTH COUNTY,4238
BUKOMANSIMBI NORTH COUNTY,3076
BUKOMANSIMBI NORTH COUNTY,251
BUKOMANSIMBI NORTH COUNTY,182
BUKOMANSIMBI NORTH COUNTY,47
BUKOMANSIMBI SOUTH COUNTY,9200
BUKOMANSIMBI SOUTH COUNTY,4072
BUKOMANSIMBI SOUTH COUNTY,3787
BUKOMANSIMBI SOUTH COUNTY,2955
BUKOMANSIMBI SOUTH COUNTY,1462
BUKOMANSIMBI SOUTH COUNTY,487
BUKOMANSIMBI SOUTH COUNTY,328
BUKOMANSIMBI SOUTH COUNTY,321
BUKOMANSIMBI SOUTH COUNTY,202
BUKOMANSIMBI SOUTH COUNTY,33
KONGASIS COUNTY,6821
KONGASIS COUNTY,6714
KONGASIS COUNTY,5470
T'OO COUNTY,8219
T'OO COUNTY,4017
T'OO COUNTY,1248
BULAMBULI COUNTY,8847
BULAMBULI COUNTY,6814
BULAMBULI COUNTY,2554
BULAMBULI COUNTY,1626
BULAMBULI COUNTY,130
BULAMBULI COUNTY,83
ELGON COUNTY,9213
ELGON COUNTY,1765
ELGON COUNTY,384
ELGON NORTH COUNTY,15753
ELGON NORTH COUNTY,3123
ELGON NORTH COUNTY,195
BULIISA COUNTY,15062
BULIISA COUNTY,12340
BUGHENDERA COUNTY,13897
BUGHENDERA COUNTY,13462
BUGHENDERA COUNTY,1571
BUGHENDERA COUNTY,38
BWAMBA COUNTY,27202
BWAMBA COUNTY,12732
BWAMBA COUNTY,3276
BUNYANGABU COUNTY,31353
BUNYANGABU COUNTY,14251
BUNYANGABU COUNTY,2811
BUNYANGABU COUNTY,2742
BUNYANGABU COUNTY,2262
BUNYANGABU COUNTY,1889
BUNYANGABU COUNTY,686
BUNYANGABU COUNTY,503
BUNYANGABU COUNTY,378
BUSHENYI -ISHAKA MUNICIPALITY,8199
BUSHENYI -ISHAKA MUNICIPALITY,5898
BUSHENYI -ISHAKA MUNICIPALITY,734
BUSHENYI -ISHAKA MUNICIPALITY,306
BUSHENYI -ISHAKA MUNICIPALITY,166
BUSHENYI -ISHAKA MUNICIPALITY,47
BUSHENYI -ISHAKA MUNICIPALITY,13
IGARA COUNTY EAST,13973
IGARA COUNTY EAST,11163
IGARA COUNTY EAST,4904
IGARA COUNTY EAST,966
IGARA COUNTY EAST,538
IGARA COUNTY EAST,253
IGARA COUNTY EAST,172
IGARA COUNTY WEST,24508
IGARA COUNTY WEST,12660
IGARA COUNTY WEST,742
IGARA COUNTY WEST,286
IGARA COUNTY WEST,188
IGARA COUNTY WEST,0
BUSIA MUNICIPALITY,3507
BUSIA MUNICIPALITY,3411
BUSIA MUNICIPALITY,2344
BUSIA MUNICIPALITY,1848
BUSIA MUNICIPALITY,1106
BUSIA MUNICIPALITY,938
BUSIA MUNICIPALITY,910
BUSIA MUNICIPALITY,700
BUSIA MUNICIPALITY,625
BUSIA MUNICIPALITY,383
BUSIA MUNICIPALITY,87
BUSIA MUNICIPALITY,62
SAMIA BUGWE CENTRAL COUNTY,13917
SAMIA BUGWE CENTRAL COUNTY,11528
SAMIA BUGWE CENTRAL COUNTY,1194
SAMIA BUGWE CENTRAL COUNTY,999
SAMIA BUGWE CENTRAL COUNTY,267
SAMIA BUGWE CENTRAL COUNTY,252
SAMIA BUGWE COUNTY NORTH,13528
SAMIA BUGWE COUNTY NORTH,6148
SAMIA BUGWE COUNTY NORTH,5286
SAMIA BUGWE COUNTY NORTH,2770
SAMIA BUGWE COUNTY NORTH,2745
SAMIA BUGWE COUNTY NORTH,1493
SAMIA BUGWE COUNTY NORTH,659
SAMIA BUGWE COUNTY NORTH,587
SAMIA BUGWE COUNTY NORTH,253
SAMIA BUGWE COUNTY NORTH,234
SAMIA BUGWE COUNTY NORTH,201
SAMIA BUGWE COUNTY NORTH,129
SAMIA BUGWE COUNTY NORTH,113
SAMIA BUGWE COUNTY NORTH,96
SAMIA BUGWE COUNTY SOUTH,8098
SAMIA BUGWE COUNTY SOUTH,7811
SAMIA BUGWE COUNTY SOUTH,2912
SAMIA BUGWE COUNTY SOUTH,593
SAMIA BUGWE COUNTY SOUTH,260
SAMIA BUGWE COUNTY SOUTH,86
SAMIA BUGWE COUNTY SOUTH,28
BUNYOLE EAST COUNTY,20821
BUNYOLE EAST COUNTY,12760
BUNYOLE EAST COUNTY,602
BUNYOLE EAST COUNTY,596
BUNYOLE EAST COUNTY,423
BUNYOLE EAST COUNTY,411
BUNYOLE EAST COUNTY,254
BUNYOLE EAST COUNTY,89
BUNYOLE WEST COUNTY,16384
BUNYOLE WEST COUNTY,11608
BUNYOLE WEST COUNTY,4326
BUNYOLE WEST COUNTY,647
BUNYOLE WEST COUNTY,606
BUNYOLE WEST COUNTY,222
BUNYOLE WEST COUNTY,97
BUTAMBALA COUNTY,24070
BUTAMBALA COUNTY,12040
BUTAMBALA COUNTY,295
BUTAMBALA COUNTY,228
BUTAMBALA COUNTY,189
BUTAMBALA COUNTY,144
BUTEBO COUNTY,16747
BUTEBO COUNTY,12956
BUTEBO COUNTY,3075
BUTEBO COUNTY,1497
BUTEBO COUNTY,841
BUTEBO COUNTY,204
BUVUMA ISLANDS COUNTY,12151
BUVUMA ISLANDS COUNTY,5181
BUVUMA ISLANDS COUNTY,2486
BUVUMA ISLANDS COUNTY,1471
BUDIOPE EAST COUNTY,27675
BUDIOPE EAST COUNTY,12508
BUDIOPE EAST COUNTY,850
BUDIOPE EAST COUNTY,653
BUDIOPE EAST COUNTY,316
BUDIOPE WEST COUNTY,14887
BUDIOPE WEST COUNTY,13393
BUDIOPE WEST COUNTY,6697
BUDIOPE WEST COUNTY,2951
BUDIOPE WEST COUNTY,1166
BUDIOPE WEST COUNTY,647
BUDIOPE WEST COUNTY,96
DOKOLO NORTH COUNTY,11428
DOKOLO NORTH COUNTY,11180
DOKOLO NORTH COUNTY,6173
DOKOLO NORTH COUNTY,4388
DOKOLO NORTH COUNTY,396
DOKOLO NORTH COUNTY,203
DOKOLO SOUTH COUNTY,13285
DOKOLO SOUTH COUNTY,11631
DOKOLO SOUTH COUNTY,706
FORT PORTAL CENTRAL DIVISION,11019
FORT PORTAL CENTRAL DIVISION,8190
FORT PORTAL CENTRAL DIVISION,563
FORT PORTAL CENTRAL DIVISION,201
FORT PORTAL CENTRAL DIVISION,163
FORT PORTAL CENTRAL DIVISION,47
FORT PORTAL NORTH DIVISION,7911
FORT PORTAL NORTH DIVISION,7820
FORT PORTAL NORTH DIVISION,276
FORT PORTAL NORTH DIVISION,222
FORT PORTAL NORTH DIVISION,158
GOMBA EAST COUNTY,17097
GOMBA EAST COUNTY,7177
GOMBA EAST COUNTY,247
GOMBA EAST COUNTY,208
GOMBA EAST COUNTY,177
GOMBA WEST COUNTY,14007
GOMBA WEST COUNTY,6407
GOMBA WEST COUNTY,5426
GOMBA WEST COUNTY,3558
ASWA COUNTY,6392
ASWA COUNTY,5855
ASWA COUNTY,3736
ASWA COUNTY,2345
ASWA COUNTY,632
ASWA COUNTY,324
ASWA COUNTY,286
ASWA COUNTY,270
ASWA COUNTY,267
ASWA COUNTY,190
BARDEGE-LAYIBI DIVISION,6503
BARDEGE-LAYIBI DIVISION,4006
BARDEGE-LAYIBI DIVISION,1859
BARDEGE-LAYIBI DIVISION,1047
BARDEGE-LAYIBI DIVISION,449
BARDEGE-LAYIBI DIVISION,408
BARDEGE-LAYIBI DIVISION,273
BARDEGE-LAYIBI DIVISION,109
LAROO-PECE DIVISION,6633
LAROO-PECE DIVISION,4220
LAROO-PECE DIVISION,2557
LAROO-PECE DIVISION,1619
LAROO-PECE DIVISION,1098
LAROO-PECE DIVISION,732
LAROO-PECE DIVISION,698
LAROO-PECE DIVISION,318
LAROO-PECE DIVISION,286
LAROO-PECE DIVISION,239
LAROO-PECE DIVISION,133
LAROO-PECE DIVISION,65
LAROO-PECE DIVISION,36
BUGAHYA COUNTY,
KIGOROBYA COUNTY,9633
KIGOROBYA COUNTY,7740
KIGOROBYA COUNTY,462
KIGOROBYA COUNTY,213
HOIMA EAST DIVISION,9097
HOIMA EAST DIVISION,3888
HOIMA EAST DIVISION,1550
HOIMA EAST DIVISION,900
HOIMA EAST DIVISION,149
HOIMA WEST DIVISION,6369
HOIMA WEST DIVISION,6212
HOIMA WEST DIVISION,5075
HOIMA WEST DIVISION,1681
HOIMA WEST DIVISION,426
IBANDA COUNTY NORTH,13513
IBANDA COUNTY NORTH,13186
IBANDA COUNTY NORTH,165
IBANDA COUNTY NORTH,142
IBANDA COUNTY SOUTH,21837
IBANDA COUNTY SOUTH,5370
IBANDA COUNTY SOUTH,224
IBANDA COUNTY SOUTH,81
IBANDA MUNICIPALITY,16038
IBANDA MUNICIPALITY,15682
IBANDA MUNICIPALITY,1298
IBANDA MUNICIPALITY,268
IBANDA MUNICIPALITY,262
IBANDA MUNICIPALITY,229
IGANGA MUNICIPALITY,6621
IGANGA MUNICIPALITY,6512
IGANGA MUNICIPALITY,4461
IGANGA MUNICIPALITY,2935
IGANGA MUNICIPALITY,686
