name,amount
LABWOR COUNTY,14738
LABWOR COUNTY,8466
LABWOR COUNTY,791
ADJUMANI EAST COUNTY,12014
ADJUMANI EAST COUNTY,10728
ADJUMANI EAST COUNTY,1722
ADJUMANI EAST COUNTY,933
ADJUMANI EAST COUNTY,390
ADJUMANI WEST COUNTY,10227
ADJUMANI WEST COUNTY,6891
ADJUMANI WEST COUNTY,1836
ADJUMANI WEST COUNTY,1145
ADJUMANI WEST COUNTY,934
ADJUMANI WEST COUNTY,603
ADJUMANI WEST COUNTY,202
AGAGO  WEST COUNTY,9892
AGAGO  WEST COUNTY,4954
AGAGO  WEST COUNTY,745
AGAGO  WEST COUNTY,72
AGAGO COUNTY,9396
AGAGO COUNTY,8789
AGAGO COUNTY,2846
AGAGO COUNTY,2692
AGAGO NORTH COUNTY,7943
AGAGO NORTH COUNTY,6551
AGAGO NORTH COUNTY,4922
AGAGO NORTH COUNTY,4286
AGAGO NORTH COUNTY,1782
AGAGO NORTH COUNTY,650
AJURI COUNTY,11796
AJURI COUNTY,10612
AJURI COUNTY,5859
AJURI COUNTY,3933
AJURI COUNTY,2222
MOROTO COUNTY,17703
MOROTO COUNTY,9874
MOROTO COUNTY,2644
MOROTO COUNTY,1801
MOROTO COUNTY,343
MOROTO COUNTY,225
KIOGA COUNTY,8537
KIOGA COUNTY,6927
KIOGA COUNTY,5691
KIOGA COUNTY,1259
KIOGA COUNTY,489
KIOGA COUNTY,110
KIOGA NORTH COUNTY,14021
KIOGA NORTH COUNTY,6381
KIOGA NORTH COUNTY,4346
