name,votes
GOSHEN LAND [NAK-Z],823
KASALA,412
KASENENE,419
NAMAWOJJOLO ISLAMIC P/S [N-Z],933
NAMAWOJJOLO WEST [N-Z],757
EXCEL PR. SCH.(KI-M),851
EXCEL PR. SCH.(N-NAL),794
RUTOOBO SDA CHURCH,139
KAMPUNGU P/SCHOOL,853
KATTENJU PLAYGROUND,604
BULYANA MOSQUE (A-M),341
BBANDA PRI. SCH,752
KIZAANO PENTECOSTAL CHURCH,182
NYAKATABO,226
KIBUUKA P/SCHOOL,469
KYANIKA CATHOLIC CHURCH,564
BWEFULUMYA EAST-AT FOREST HILL,501
LATE  J.B. KASAJJA' S PLACE[N-Z],770
KIBAATI,754
LCI MEETING PLACE (NANT - Z),"1,185"
SERINA PR. SCHOOL (L -NABU),862
NAMANGANGA,364
NAMAWOJJOLO ISLAMIC P/S [A-M],725
KYAMPISI SUBCOUNTY HQTRS  [A-NAJ],481
LORD'S HARVEST CHURCH,695
UMARU NYAGO PARKING YARD (A-M),662
MIREMBE PRIMARY SCHOOL,767
MPERERWE PRI. SCHOOL (A-K),"1,145"
TEITEK CENTRE,701
MBALALA S.S.S COMPOUND [A-M].,499
ST. FRANCIS NURSERY SCH. (O-Z),474
KABUUMBA-KITAWULUZI,771
BUGOROGORO,732
B.M.K. (A-M),"1,139"
B.M.K. (N-Z),"1,087"
KISALOSALO (KIT-MUGE)-KYEBANDO VOC. TRAINING CTRE,"1,195"
KISALOSALO (SSE-Z)-CLEVELAND PRI.SCH,"1,111"
KATAMCHUBA,228
LC MEETING PLACE  (A-L),"1,134"
LC MEETING PLACE  (NAL-NAM),411
LCI MEETING PLACE (KIT-NAI),"1,156"
BULIGOBE KITAWULUZI,719
LATE  J.B. KASAJJA' S PLACE[A-M],592
SEBAMBA'S COMPOUND (NAMU-Z),"1,306"
KYEBANDO PROGRESSIVE P. SCH. (N - NAM),906
NAMWANDU NKOYOOYO'S HOME (KI- NABUK),"1,252"
NAMWANDU NKOYOOYO'S HOME (NANSO-Z),"1,275"
MISEENYI,670
KYAMPISI SUBCOUNTY HQTRS  [NAK-Z],547
SERINA PR. SCHOOL (A - K),"1,177"
KALAGALA,967
BIGASA SUBCOUNTY PLAY GROUND,881
NKONGE CHURCH,537
ST. JAMES CHURCH (A-M),924
MASESE I (A-D)-LAKESIDE MAIN PLAYGROUND SOUTH,670
MASESE III (J-MAK)-BETHEL PRIMARY SCHOOL,574
ALL SAINTS NURSERY SCH.(N-Z),414
MBALALA PARENTS [A-M],563
KAKONI C.O.U,312
LWOYO P/SCHOOL,711
KABUKONGOTE PRI SCH,583
NSOZI A,491
KABAALE,574
MBUYE/KATIKAMU,408
NKOMA,436
KAKINGA C.O.U,318
MITIMA,597
BUNGWANYI C/U,337
KARUKADONG,207
OLEL,588
LATIDA CENTRE,573
MBALALA S.S.S COMPOUND [N-Z].,628
AWENO - OLUI MARKET,330
KIRYASAKA HOPE PRI SCHOOL,390
BULYANA MOSQUE (N-Z),696
KYATTUBA B,318
MADDU TOWN COUNCIL HQTRS  (A- M),632
BWEFULUMYA WEST-AT FOREST HILL,359
MBUYA MOSLEM,478
KAGANGO N-Z,513
KABULASOKE,123
LUBANYI PRIMARY SCHOOL FRONT YARD,754
LUBANYI TECHNICAL,359
